SKU,Наличност,Бройки,Цена
954627,Наличен,11,31.50
950155,Наличен,4,31.50
955315,Наличен,7,31.50
951905,Наличен,12,31.50
950156,Наличен,43,31.50
950157,Наличен,5,31.50
950158,Изчерпан,0,31.50
955453,Наличен,6,37.50
954628,Наличен,3,37.50
954629,Изчерпан,0,37.50
955454,Наличен,14,37.50
950421,Изчерпан,0,20.80
950671,Наличен,9,20.80
951463,Наличен,2,20.80
950422,Наличен,11,20.80
950423,Изчерпан,0,20.80
956336,Наличен,26,25.20
956337,Наличен,27,25.20
956338,Наличен,20,25.20
956339,Наличен,9,25.20
953415,Наличен,11,30.50
954378,Изчерпан,0,30.50
953416,Наличен,9,30.50
955455,Наличен,11,34.90
955456,Наличен,5,34.90
955457,Наличен,8,34.90
955458,Наличен,2,34.90
954616,Наличен,10,30.20
954617,Наличен,7,30.20
954618,Наличен,6,30.20
954619,Наличен,9,30.20
954620,Наличен,10,30.20
954621,Наличен,8,30.20
956061,Наличен,1,21.80
956062,Наличен,1,21.80
956063,Наличен,4,21.80
956064,Наличен,8,21.80
956065,Наличен,5,21.80
955466,Наличен,11,24.50
955467,Наличен,7,24.50
955468,Наличен,12,24.50
955469,Наличен,18,24.50
959209,Наличен,15,21.80
959207,Наличен,14,24.50
959208,Наличен,3,26.50
961752,Наличен,7,25.20
955473,Наличен,7,25.20
959210,Наличен,7,25.20
956625,Наличен,3,25.20
955474,Наличен,9,25.20
956626,Наличен,4,25.20
961753,Наличен,7,28.00
961754,Наличен,10,28.00
959211,Наличен,1,27.80
961755,Наличен,10,28.00
961756,Наличен,9,28.00
955470,Наличен,6,22.90
955471,Наличен,3,22.90
955472,Наличен,3,22.90
960458,Наличен,7,27.80
960855,Наличен,13,27.80
960459,Наличен,10,27.80
960687,Наличен,8,27.80
956356,Наличен,8,28.80
956357,Наличен,14,28.80
956358,Наличен,8,28.80
956359,Наличен,16,28.80
942900,Наличен,49,17.80
421259,Наличен,24,17.80
930000,Наличен,77,17.80
942902,Изчерпан,0,17.80
421367,Наличен,64,17.80
939185,Наличен,128,17.80
421263,Наличен,13,18.50
421264,Изчерпан,0,18.50
421434,Наличен,9,15.50
421435,Наличен,32,15.50
955373,Наличен,9,15.50
421436,Наличен,17,15.50
929989,Наличен,67,15.50
934260,Наличен,68,15.50
421437,Изчерпан,0,15.50
955071,Наличен,16,16.50
929197,Наличен,16,16.50
421201,Наличен,10,16.50
941141,Наличен,15,16.50
421203,Наличен,30,16.50
929198,Наличен,10,16.50
933492,Наличен,16,16.50
934270,Наличен,16,16.50
421205,Изчерпан,0,16.50
927412,Наличен,9,17.20
421218,Наличен,23,17.20
929206,Наличен,4,17.20
421219,Наличен,25,17.20
934276,Наличен,4,17.20
939186,Изчерпан,0,17.20
421232,Наличен,15,18.50
421234,Наличен,44,18.50
939189,Наличен,25,18.50
421235,Наличен,28,18.50
955375,Наличен,28,18.50
934282,Наличен,150,18.50
955376,Наличен,30,18.50
948353,Наличен,6,15.50
421284,Наличен,5,15.50
421287,Наличен,7,17.30
421288,Наличен,6,17.30
421354,Изчерпан,0,16.50
923313,Наличен,2,16.50
421290,Наличен,6,17.50
929790,Изчерпан,0,17.50
920248,Наличен,5,17.50
930018,Наличен,15,20.50
421355,Наличен,13,20.50
920249,Наличен,21,20.50
421441,Наличен,32,17.30
421442,Изчерпан,0,17.30
930003,Наличен,19,17.30
921762,Наличен,103,15.50
961764,Наличен,66,15.50
953534,Наличен,2,15.50
421304,Наличен,71,15.50
950782,Наличен,196,15.50
961763,Наличен,32,15.50
421305,Наличен,159,15.50
949531,Наличен,63,15.50
961381,Наличен,135,15.50
949529,Наличен,146,15.50
421303,Наличен,24,15.50
953663,Изчерпан,0,15.50
949530,Изчерпан,0,15.50
957819,Наличен,20,18.50
930013,Наличен,16,18.50
926355,Наличен,32,18.50
957818,Наличен,23,18.50
921784,Наличен,6,27.90
921785,Наличен,5,27.90
929225,Наличен,6,18.50
421421,Наличен,54,18.50
421422,Наличен,54,18.50
421423,Изчерпан,0,18.50
421424,Наличен,16,18.50
934288,Наличен,36,18.50
958845,Изчерпан,0,18.50
939192,Наличен,7,27.80
921277,Наличен,7,27.80
920239,Наличен,9,21.90
421322,Наличен,5,17.90
421446,Наличен,20,17.90
921782,Наличен,3,17.90
955654,Изчерпан,0,21.90
955655,Наличен,12,21.90
955656,Наличен,25,21.90
954242,Наличен,4,21.80
421413,Наличен,26,21.80
421414,Наличен,87,21.80
955659,Наличен,6,23.30
421443,Наличен,6,23.30
421444,Наличен,7,23.30
954137,Наличен,44,24.90
955819,Наличен,98,15.50
956205,Наличен,61,15.50
